X1;X2;FO
1,227971352;4,245373367;-0,095825041
1,227971353;4,245373366;-0,095825041
1,22797135;4,245373291;-0,095825041
1,227971352;4,245373367;-0,095825041
1,227971356;4,245373367;-0,095825041
1,227782289;4,2456772;-0,095824663
1,226803103;4,246252313;-0,095815809
1,227971353;4,245373366;-0,095825041
1,227971352;4,245373364;-0,095825041
1,227971352;4,245373367;-0,095825041
1,227971353;4,245373366;-0,095825041
1,227958085;4,245287537;-0,095825026
1,227971352;4,245373367;-0,095825041
1,227971352;4,245373366;-0,095825041
1,227971351;4,245373368;-0,095825041
1,22797135;4,245373361;-0,095825041
1,227971352;4,245373368;-0,095825041
1,228077304;4,246229309;-0,095823592
1,22796897;4,245373326;-0,095825041
1,22797583;4,245368071;-0,095825041
1,227971353;4,245373366;-0,095825041
1,227971352;4,245373368;-0,095825041
1,227971363;4,24537319;-0,095825041
1,227971354;4,245373368;-0,095825041
1,227971352;4,245373366;-0,095825041
1,227971352;4,245373367;-0,095825041
1,227971353;4,245373366;-0,095825041
1,227971353;4,245373365;-0,095825041
1,227971345;4,245373371;-0,095825041
1,227971353;;-0,095825041
